,categories,mean_distance
10,,
10000,,
100004,,
100007,,
100013,,
100014,,
100016,,
100020,,
100026,,
100027,,
100030,,
10004,,
100044,,
100048,,
10005,,
100051,,
100052,,
100053,,
100055,,
100058,,
100062,,
100063,,
100065,,
100066,,
10007,,
100071,,
100075,,
100076,,
100079,,
100081,,
100083,,
100084,,
100085,,
100087,,
10009,,
100090,,
100096,,
100098,,
100099,,
10010,,
100100,,
100102,,
100107,,
100112,,
100113,,
100115,,
100117,,
100119,,
10012,,
100124,,
100127,,
100129,,
100131,,
100132,,
100133,,
100136,,
100137,,
100138,,
100139,,
10014,,
100140,,
100141,,
100144,,
100149,,
100151,,
100156,,
100160,,
100161,,
100166,,
100170,,
100172,,
100175,,
100177,,
100179,,
100181,,
100182,,
100184,,
100185,,
100188,,
100193,,
100196,,
100198,,
1002,,
10020,,
100200,,
100203,,
100205,,
100206,,
100209,,
10021,,
100213,,
100214,,
100215,,
100216,,
100219,,
100221,,
100222,,
100224,,
100227,,
100233,,
100234,,
100235,,
100237,,
100240,,
100241,,
100243,,
100245,,
100246,,
100247,,
100248,,
100250,,
100251,,
100253,,
100254,,
100256,,
100259,,
100260,,
100262,,
100263,,
100264,,
100265,,
100270,,
100274,,
100276,,
100277,,
100278,,
100279,,
100282,,
100283,,
100286,,
100287,,
10029,,
100296,,
100297,,
100299,,
10030,,
100300,,
100302,,
100305,,
100307,,
100308,,
100310,,
100311,,
100314,,
100316,,
100317,,
100318,,
100319,,
100322,,
100324,,
10033,,
100331,,
100332,,
100333,,
100335,,
100338,,
10034,,
100343,,
100345,,
100346,,
100348,,
100356,,
100358,,
100359,,
100360,,
10037,,
100371,,
100377,,
100380,,
100382,,
100385,,
100386,,
100387,,
100390,,
100391,,
100392,,
100395,,
100399,,
1004,,
10040,,
100400,,
100403,,
100406,,
100410,,
100411,,
100412,,
100417,,
100419,,
100422,,
100423,,
100424,,
100427,,
100429,,
100433,,
100437,,
100438,,
100439,,
100440,,
100444,,
100445,,
100446,,
100449,,
10045,,
100451,,
100454,,
100457,,
100458,,
100463,,
100464,,
100465,,
100467,,
100468,,
100469,,
100471,,
100472,,
100473,,
100475,,
100477,,
100479,,
10048,,
100482,,
100489,,
100490,,
100491,,
100493,,
100497,,
100498,,
100502,,
100504,,
100509,,
100511,,
100512,,
100514,,
100515,,
100518,,
10052,,
100521,,
100523,,
100524,,
100526,,
10053,,
100535,,
100536,,
100543,,
100544,,
100545,,
100547,,
10055,,
100551,,
100553,,
100558,,
100559,,
100560,,
100561,,
100563,,
100564,,
100567,,
10057,,
100571,,
100574,,
100577,,
100583,,
100591,,
100593,,
100596,,
100597,,
100598,,
100600,,
100601,,
100602,,
100604,,
100605,,
10061,,
100613,,
100614,,
100617,,
100619,,
100620,,
100622,,
100624,,
100626,,
100628,,
100629,,
100630,,
100633,,
100634,,
100636,,
100638,,
10064,,
100640,,
100641,,
100642,,
100644,,
100646,,
100648,,
100649,,
100650,,
100657,,
100658,,
100659,,
100660,,
100661,,
100662,,
100663,,
100664,,
100670,,
100671,,
100672,,
100677,,
10068,,
100684,,
100685,,
100686,,
100688,,
100689,,
100690,,
100692,,
100694,,
100697,,
1007,,
10070,,
100703,,
100709,,
100710,,
100718,,
100721,,
100723,,
100725,,
100727,,
100729,,
10073,,
100732,,
100734,,
100735,,
100737,,
100739,,
100740,,
100742,,
100743,,
100744,,
100748,,
100751,,
100753,,
100765,,
100767,,
10077,,
100770,,
100772,,
100774,,
100776,,
100789,,
10079,,
100791,,
100793,,
100797,,
100798,,
10080,,
100805,,
100808,,
100809,,
100811,,
100812,,
100813,,
100814,,
100816,,
100818,,
10082,,
100823,,
100826,,
100827,,
100829,,
100833,,
100837,,
100839,,
10084,,
100840,,
100841,,
100842,,
100849,,
10085,,
100850,,
100852,,
100853,,
100854,,
10086,,
100860,,
100862,,
100869,,
100870,,
100873,,
100874,,
100875,,
100876,,
100880,,
100881,,
100883,,
100885,,
100886,,
100890,,
100894,,
100897,,
100899,,
100900,,
100902,,
100903,,
100904,,
100906,,
100907,,
100909,,
100910,,
